iter	Logloss
0	0.2704708052
1	0.1380741249
2	0.09702430948
3	0.08307355824
4	0.07632518259
5	0.07263944804
6	0.07047710803
7	0.06786117283
8	0.06613772835
9	0.06500900648
10	0.06457918103
11	0.06341430272
12	0.06301409135
13	0.06219268267
14	0.06164499566
15	0.0615186629
16	0.06141349781
17	0.06102575574
18	0.06036243339
19	0.05996109445
20	0.05980226468
21	0.05942431963
22	0.05882042782
23	0.05874180388
24	0.05859332045
25	0.05828008857
26	0.05804417545
27	0.0578615429
28	0.05776326298
29	0.05739224027
30	0.05722772724
31	0.05715209362
32	0.05664983139
33	0.05645498561
34	0.05614053529
35	0.05583039698
36	0.05551646295
37	0.05541378015
38	0.05513823704
39	0.05475711994
40	0.05464322757
41	0.05442364557
42	0.05413196546
43	0.05390025284
44	0.05382136043
45	0.05371698009
46	0.05360832079
47	0.05346085341
48	0.0530729833
49	0.05297332387
50	0.05279479268
51	0.05275626959
52	0.05257948138
53	0.0524343187
54	0.05243033711
55	0.05197812556
56	0.0518076608
57	0.05155490029
58	0.05149088927
59	0.05136933111
60	0.05110605079
61	0.05100329778
62	0.05091648763
63	0.05064295183
64	0.05050607861
65	0.05023285258
66	0.05002654942
67	0.04975637153
68	0.04962023763
69	0.04937025266
70	0.04927109712
71	0.04914138993
72	0.04890693067
73	0.04869642288
74	0.04844540535
75	0.04831270371
76	0.04815818594
77	0.04797117117
78	0.04769402964
79	0.04738843463
80	0.04718417182
81	0.04690586968
82	0.04690416801
83	0.04681619726
84	0.04665027993
85	0.04645630151
86	0.04641907533
87	0.04625870497
88	0.0460862742
89	0.04595356843
90	0.0456744774
91	0.04561163525
92	0.04548481512
93	0.04539437859
94	0.0453388429
95	0.04516244707
96	0.04516094365
97	0.04515289787
98	0.04498387045
99	0.04495357074
100	0.04479430729
101	0.04478336619
102	0.04473571932
103	0.04444562111
104	0.04417716968
105	0.04412704465
106	0.04405443853
107	0.04389975555
108	0.04379403287
109	0.04375823164
110	0.04352658097
111	0.04328992441
112	0.04328171755
113	0.04327427066
114	0.04320064023
115	0.04314127164
116	0.04301872634
117	0.04291153328
118	0.0427091291
119	0.04238968528
120	0.04223930605
121	0.04189799242
122	0.04185651206
123	0.0418406931
124	0.04166912969
125	0.04156808661
126	0.04144459548
127	0.04132736586
128	0.04103166286
129	0.0410114369
130	0.04089445096
131	0.04076089435
132	0.04057895155
133	0.04054804882
134	0.04052575772
135	0.04047698742
